"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"TNIP1"	-0.431504401053964	6.22913911685996	1.01837864928456e-08	1.21204319919935e-06	TRUE	FALSE	FALSE
"SLC34A2"	-0.689631348140006	6.44545461372521	1.05974147718618e-08	1.25373230395928e-06	TRUE	FALSE	FALSE
"ZDHHC23"	0.834467299931616	2.6680322693232	1.0653094199597e-08	1.25373230395928e-06	TRUE	FALSE	FALSE
"GPR87"	-0.512808290777853	4.92737965337535	1.09317894468804e-08	1.27938375826657e-06	TRUE	FALSE	FALSE
"BCAR3"	-0.421731256562053	6.69435533647221	1.10592669766056e-08	1.28715203386284e-06	TRUE	FALSE	FALSE
"ITGA5"	-0.480120477291554	9.42759451940999	1.25653325918808e-08	1.45440272736572e-06	TRUE	FALSE	FALSE
"SLC7A5"	-0.553165498024325	9.91747627531613	1.3227459981187e-08	1.52267580308025e-06	TRUE	FALSE	FALSE
"SMIM3"	-0.414663374300301	6.5933088504204	1.35099313886148e-08	1.54674029691608e-06	TRUE	FALSE	FALSE
"FAM219A"	-0.432799458893238	6.75837098151091	1.37518613111456e-08	1.56592816421942e-06	TRUE	FALSE	FALSE
"CYP4F22"	-1.39888864781431	2.00886549032253	1.39034565471362e-08	1.57287555076148e-06	TRUE	TRUE	FALSE
"SLC6A19"	-0.507065992234724	5.58852250583716	1.39622010819518e-08	1.57287555076148e-06	TRUE	FALSE	FALSE
"SAMHD1"	0.70793192048622	2.97502414767565	1.48977252606103e-08	1.66933766138307e-06	TRUE	FALSE	FALSE
"LMO2"	-0.615202274098398	4.83932672565071	1.50382767153441e-08	1.67617109674836e-06	TRUE	FALSE	FALSE
"ADM"	-0.771373513320656	6.85468470309358	1.51320610443683e-08	1.6777473576877e-06	TRUE	FALSE	FALSE
"COLQ"	-0.579183992539046	4.10685844840828	1.54197416441255e-08	1.70069255222591e-06	TRUE	FALSE	FALSE
"EIF4EBP1"	-0.700808530157141	5.11752986891365	1.5618423252502e-08	1.71363387623545e-06	TRUE	FALSE	FALSE
"TGIF1"	-0.420014238555841	7.81055001838095	1.6864288209211e-08	1.84074142702197e-06	TRUE	FALSE	FALSE
"AP001065.15"	-0.496629026453227	9.31996765002662	1.70094723401425e-08	1.84701826967753e-06	TRUE	FALSE	FALSE
"LNX1"	-0.526059563316918	5.17080438951087	1.73989413812666e-08	1.87962102121929e-06	TRUE	FALSE	FALSE
"ALDH3B2"	-0.549772945037679	4.84809610155394	1.88826404593591e-08	2.02949848937173e-06	TRUE	FALSE	FALSE
"TEX19"	-0.857561177259059	2.44281195974853	1.91166604651319e-08	2.03848537350045e-06	TRUE	FALSE	FALSE
"RDH13"	-0.620271591324457	4.25823753801989	1.9159788472092e-08	2.03848537350045e-06	TRUE	FALSE	FALSE
"VPS37C"	-0.407755209903827	6.10127709224232	2.60459811429504e-08	2.7572092399869e-06	TRUE	FALSE	FALSE
"FMN1"	-0.648841946854768	4.79244122283675	2.83913975911749e-08	2.98829483572157e-06	TRUE	FALSE	FALSE
"SLC20A2"	-0.41904452898195	7.37568884114534	2.85126394180213e-08	2.98829483572157e-06	TRUE	FALSE	FALSE
"MPI"	-0.4115399997518	6.24168402182688	2.9391900657325e-08	3.06519692696638e-06	TRUE	FALSE	FALSE
"ELMSAN1"	-0.408555025929264	6.51411095351405	2.98494372564026e-08	3.09757756277525e-06	TRUE	FALSE	FALSE
"SLC7A1"	-0.558320937654323	6.67018045090853	3.06266908365019e-08	3.16265622138113e-06	TRUE	FALSE	FALSE
"PLEKHG6"	-0.402175807632425	7.64890041373709	3.12275265806299e-08	3.20897109730512e-06	TRUE	FALSE	FALSE
"LRRFIP1"	-0.467926094103329	8.31444131490678	3.17521495659608e-08	3.24704263474044e-06	TRUE	FALSE	FALSE
"ALDH3B1"	-0.44466587795971	5.76123141081522	3.34221162677872e-08	3.40130580336814e-06	TRUE	FALSE	FALSE
"TTL"	0.636428028691417	3.43561487440729	3.412762470715e-08	3.45640645231165e-06	TRUE	FALSE	FALSE
"CYP1A1"	-0.842055767472359	3.40460738657452	3.4316467258971e-08	3.45890286735638e-06	TRUE	FALSE	FALSE
"TGM2"	-0.714638389386431	3.04771900614088	3.50875157155058e-08	3.51977907648974e-06	TRUE	FALSE	FALSE
"SLAIN1"	1.45706446999828	0.268373846023954	3.63013809606799e-08	3.62428858444399e-06	TRUE	TRUE	FALSE
"NFE2L3"	-0.478892884885798	7.78800090419944	3.77745500975172e-08	3.75357864318064e-06	TRUE	FALSE	FALSE
"BASP1"	-0.434279499262922	8.56411099574242	3.80559109841517e-08	3.76378319620723e-06	TRUE	FALSE	FALSE
"LIN28A"	-0.458582059231301	6.08131441678359	3.83570541953629e-08	3.77583973682016e-06	TRUE	FALSE	FALSE
"SPNS3"	-0.692553972681864	3.11752792772764	3.92269840580782e-08	3.84351463333709e-06	TRUE	FALSE	FALSE
"TSKU"	-0.451974806167533	6.4657760055078	4.40901856365161e-08	4.30001782693911e-06	TRUE	FALSE	FALSE
"BHLHE40"	-0.520929741137403	8.95523286455083	5.00826752238391e-08	4.86194302426449e-06	TRUE	FALSE	FALSE
"WDR45B"	-0.386706783579205	7.40117237813149	5.31970704096212e-08	5.14059396903248e-06	TRUE	FALSE	FALSE
"WNT7B"	0.723324663924478	3.08043256819147	5.38293156246126e-08	5.17793773035657e-06	TRUE	FALSE	FALSE
"PTRF"	-0.796073927318906	3.48713857710919	5.679260464184e-08	5.43815004265909e-06	TRUE	FALSE	FALSE
