"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"SLC3A2"	-0.734062660876774	8.06046032797543	5.75702304788932e-37	5.80274868549457e-35	TRUE	FALSE	FALSE
"GAS7"	-1.16992149209739	2.95505646850045	6.03373330091746e-37	6.05269646272034e-35	TRUE	FALSE	FALSE
"NLRP9"	-1.73499151305735	3.28733633607179	7.54383963502089e-37	7.5060836346559e-35	TRUE	TRUE	TRUE
"EIF3B"	-0.633427390947802	8.917972958167	7.55382953834164e-37	7.5060836346559e-35	TRUE	FALSE	FALSE
"EDN2"	-2.13550264215406	1.28394308890068	8.0894918063649e-37	8.0006213329992e-35	TRUE	TRUE	TRUE
"ING1"	-0.757523974136903	5.39631558403866	1.18793620355272e-36	1.16939551701129e-34	TRUE	FALSE	FALSE
"PSEN2"	1.13175279817315	3.06590744183525	1.50557721193147e-36	1.47518556030457e-34	TRUE	FALSE	FALSE
"SLC7A6"	0.794728300235676	5.61983211498281	1.80917523157175e-36	1.7644483994579e-34	TRUE	FALSE	FALSE
"IRF2BP2"	-0.700154564266557	7.79122666628835	2.15116712174441e-36	2.08831735422432e-34	TRUE	FALSE	FALSE
"HMGB3"	-0.680624232254267	7.5971886012594	3.78567493675263e-36	3.65748578988318e-34	TRUE	FALSE	FALSE
"EPHA2"	-2.19070657229288	0.86311009641918	3.8022851418609e-36	3.65748578988318e-34	TRUE	TRUE	TRUE
"TACC1"	-0.716418069973634	7.00396042814992	4.00204375857946e-36	3.83213880991977e-34	TRUE	FALSE	FALSE
