"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"IGSF9B"	-0.774262976440837	6.83529605928049	-15.5829262082531	3.97051412367019e-12	5.76342628338126e-10	17.9904984110415	TRUE	FALSE	FALSE
"CYP1A1"	-1.57554515453959	3.2976485512172	-15.6021946878651	3.88630817051049e-12	5.71948885641789e-10	17.9746051365469	TRUE	TRUE	TRUE
"OBSCN"	-0.720139769306663	7.2738720390561	-15.5775386312157	3.99439968372574e-12	5.76342628338126e-10	17.9720654880086	TRUE	FALSE	FALSE
"TMEM184A"	-0.912098902543406	4.37074585860941	-15.5088990300098	4.31226648785719e-12	6.17974189341494e-10	17.9691735066243	TRUE	FALSE	FALSE
"ISM2"	-0.796294975596082	8.71446328400984	-15.5968104130618	3.90964775146766e-12	5.71948885641789e-10	17.9655129319204	TRUE	FALSE	FALSE
"MAP2K6"	1.09225660774397	4.3012290359902	15.4283147066627	4.71964335352892e-12	6.54105308456844e-10	17.8797769003386	TRUE	FALSE	FALSE
"TTL"	1.12740466289376	3.37703690695233	15.4670283119033	4.51911443259969e-12	6.34664430914301e-10	17.8788311827972	TRUE	FALSE	FALSE
"UCA1"	-1.18963264961951	4.05633198921528	-15.4066596466504	4.83586644676106e-12	6.65832435081494e-10	17.8531740690503	TRUE	FALSE	FALSE
"MYOF"	-0.876450223928078	8.44099678642057	-15.4898073543207	4.40532148052228e-12	6.27043934518123e-10	17.8508100229556	TRUE	FALSE	FALSE
"EIF3B"	-0.63353177672708	8.90113377495442	-15.4833535630009	4.43725278647265e-12	6.27350115435119e-10	17.8337578224791	TRUE	FALSE	FALSE
"COTL1"	-0.859583805654147	8.50304333424997	-15.458768697071	4.56113414708206e-12	6.36323522797554e-10	17.8137770893394	TRUE	FALSE	FALSE
"ACKR3"	-0.941248474892429	4.45024573951459	-15.273190033238	5.62180275087308e-12	7.59159594550592e-10	17.7047176816464	TRUE	FALSE	FALSE
"GRM4"	-0.736742383219081	6.41735139519688	-15.3157722341893	5.35743214255327e-12	7.32854970876799e-10	17.694408805429	TRUE	FALSE	FALSE
"EFNA3"	-0.929628868415112	5.99943712040778	-15.2817047507321	5.56786447528856e-12	7.56726664751153e-10	17.6735041786663	TRUE	FALSE	FALSE
"TSC22D3"	-1.03486786520765	4.13711383281981	-15.2098443398216	6.0407069608197e-12	8.09669542805537e-10	17.6310635158437	TRUE	FALSE	FALSE
"IGSF8"	-0.68793145629485	7.76162318178503	-15.2051954304917	6.07271374552714e-12	8.09669542805537e-10	17.535956398473	TRUE	FALSE	FALSE
"PLEKHA2"	-1.02028932550865	5.59739968516219	-15.1464350218794	6.49296838210738e-12	8.60257056210529e-10	17.5291925888073	TRUE	FALSE	FALSE
"HERC3"	-1.00191730985648	5.87730089561727	-15.130808880445	6.60978926944001e-12	8.70261379687645e-10	17.5031984185016	TRUE	FALSE	FALSE
"ADM"	-1.36324940640994	6.77490349596384	-15.1223471614744	6.67396784301931e-12	8.73253457025123e-10	17.4682299341054	TRUE	TRUE	FALSE
"FRMD4A"	-0.883218178384753	5.81276564366868	-15.0737424194624	7.05550572770115e-12	9.17477059628102e-10	17.4376817097905	TRUE	FALSE	FALSE
"DGKD"	-0.891701771764758	5.78854421545312	-15.0513015090973	7.23932395050201e-12	9.35604897799236e-10	17.4141740318524	TRUE	FALSE	FALSE
"SLC6A19"	-0.838850426737966	5.54534191208702	-14.9801648590469	7.85598059289404e-12	9.90982557903628e-10	17.3333554322597	TRUE	FALSE	FALSE
"LONP1"	-0.69533265597107	7.20588232273655	-15.0094896036819	7.59534973186492e-12	9.69719014857372e-10	17.3218639837166	TRUE	FALSE	FALSE
"LRRFIP1"	-0.769225754331976	8.28821284781731	-15.0099482579787	7.59134616655365e-12	9.69719014857372e-10	17.2971381485441	TRUE	FALSE	FALSE
"CYP11A1"	-0.709885622466787	7.29715523160878	-14.9852060506788	7.81051619124424e-12	9.90982557903628e-10	17.2878739200383	TRUE	FALSE	FALSE
"FAM89A"	-0.657114876969901	6.44654272925932	-14.9590737609623	8.04922575322183e-12	1.00493448886341e-09	17.280220184673	TRUE	FALSE	FALSE
"ST14"	0.652346980726116	6.46965601227199	14.9576991707715	8.06199224427595e-12	1.00493448886341e-09	17.2751875672502	TRUE	FALSE	FALSE
"ALDH2"	-0.650364902218276	7.5640607073761	-14.9525750059827	8.10977044806437e-12	1.00494367211132e-09	17.2445547429216	TRUE	FALSE	FALSE
"KLHL5"	-0.814500411025953	5.18819833587717	-14.8836559811913	8.78206068235076e-12	1.06938086898498e-09	17.2421855701798	TRUE	FALSE	FALSE
"BCAR3"	-0.661564923369567	6.67541020154883	-14.8957459248524	8.66002351742485e-12	1.06065148498879e-09	17.2005369807067	TRUE	FALSE	FALSE
"HK1"	-0.621021012717132	8.30709238125546	-14.9180790159642	8.43924807503078e-12	1.03965614005028e-09	17.1892610801619	TRUE	FALSE	FALSE
