"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"SMAD3"	-0.493215263321806	6.47157104936047	1.19806872918085e-16	1.62829134509185e-14	TRUE	FALSE	FALSE
"CCNYL1"	0.4760174692517	5.10556899027916	1.50302506401657e-16	2.02966192298545e-14	TRUE	FALSE	FALSE
"VIT"	-3.01305556265792	-1.85391715494774	1.53665046059779e-16	2.06185214031548e-14	TRUE	TRUE	TRUE
"C11orf45"	-0.508887012049155	4.79950479764254	1.92422807739592e-16	2.56555624546977e-14	TRUE	FALSE	FALSE
"USP43"	-0.559385407104571	4.37763644082834	2.06069609323367e-16	2.73022791824279e-14	TRUE	FALSE	FALSE
"NOTCH3"	-0.516759077677243	7.61616557449625	2.29312760247117e-16	3.0191891296036e-14	TRUE	FALSE	FALSE
"LY6K"	-2.43332267797648	-0.704108101456805	2.37941082590584e-16	3.11333344462934e-14	TRUE	TRUE	TRUE
"COL16A1"	-0.521057136365781	5.48867177909479	3.38608086033596e-16	4.40315922245909e-14	TRUE	FALSE	FALSE
"CLDN19"	-0.898698370551	4.0466001534648	3.59915403248146e-16	4.65152017473954e-14	TRUE	FALSE	FALSE
"AHNAK2"	0.993406047058433	1.99786816100831	4.94230895604308e-16	6.34788575122929e-14	TRUE	FALSE	FALSE
"PLAC8"	-0.48314334700481	7.49585334817627	4.97199823864442e-16	6.34788575122929e-14	TRUE	FALSE	FALSE
"APOL1"	-0.60326367648204	4.33586038674261	5.26841619547176e-16	6.66715228072393e-14	TRUE	FALSE	FALSE
"AVPI1"	-0.568330339175675	4.57911233688363	5.30289675293255e-16	6.66715228072393e-14	TRUE	FALSE	FALSE
"UBE2E1"	-0.457054405321591	6.60652619266344	5.31701121789433e-16	6.66715228072393e-14	TRUE	FALSE	FALSE
"SLCO2B1"	-1.53100854118389	0.668507977271543	5.44494648239833e-16	6.78717411823688e-14	TRUE	TRUE	TRUE
"PDE6D"	0.851265994722207	3.47804362272499	5.89760650636001e-16	7.30817521546941e-14	TRUE	FALSE	FALSE
"BTBD16"	-0.63947510154096	4.29924833374823	7.14336023250356e-16	8.80011851800702e-14	TRUE	FALSE	FALSE
"TRANK1"	-2.30244862973756	-0.965617422186276	7.78689167842404e-16	9.53713140102795e-14	TRUE	TRUE	TRUE
"TMEM52B"	-1.30221461532728	0.747621138104123	8.17524516969152e-16	9.95489680605327e-14	TRUE	TRUE	FALSE
"SCHIP1"	-0.559037690921013	4.51044214038669	9.54396308688042e-16	1.15547773786335e-13	TRUE	FALSE	FALSE
"S100A4"	-0.879619265004883	2.06832570683641	9.64844635604878e-16	1.16145240535156e-13	TRUE	FALSE	FALSE
"PSTPIP2"	-0.612449103829315	3.87414040351475	1.19252729821079e-15	1.42737386727889e-13	TRUE	FALSE	FALSE
"ITIH5"	-0.595305437057023	3.84016290949469	1.51227365992088e-15	1.79986197287533e-13	TRUE	FALSE	FALSE
"KANK4"	-0.997880278192505	3.57563689913665	1.62143598640853e-15	1.9189421623417e-13	TRUE	FALSE	FALSE
"PNKD"	-0.463179020515699	7.08329042491127	1.79698028089037e-15	2.11481489370036e-13	TRUE	FALSE	FALSE
"DENND2A"	0.448825889227083	6.03053073449519	1.91374289274181e-15	2.2397170988055e-13	TRUE	FALSE	FALSE
"OSBPL3"	-0.537136273517749	5.01391343225628	1.98760178509309e-15	2.31330492844039e-13	TRUE	FALSE	FALSE
"ETV4"	-0.584630230267896	3.62259953828924	2.22094790955018e-15	2.57068619025187e-13	TRUE	FALSE	FALSE
"RP1-34B20.21"	1.68073627503068	0.21587827322684	2.32759982620039e-15	2.67941081632445e-13	TRUE	TRUE	TRUE
"S1PR2"	-0.469167286677478	5.56331239496545	2.48168488868246e-15	2.84125944918395e-13	TRUE	FALSE	FALSE
"BASP1"	-0.430549698255578	8.56411099574242	2.66890861482884e-15	3.03909345297213e-13	TRUE	FALSE	FALSE
"NFE2L3"	-0.473210504843942	7.78800090419944	2.81635184834942e-15	3.18974559340478e-13	TRUE	FALSE	FALSE
"NTN1"	-0.422939088213476	6.66893260787334	2.85559820462668e-15	3.21690009511581e-13	TRUE	FALSE	FALSE
